;Patró;Resultat;Complexitat;Freqüència (%);Generadors;Nombre de generadors
1;ATTAAATAAT;FN;;;;1
2;AATATAAAAT;FN;;;;1
3;TATATTAATT;FN;;;;1
4;TATTATATAT;FN;;;;1
5;AATTTTATAT;FN;;;;1
6;ATTTATAATT;FN;;;;1
7;ATTAATTTAT;FN;;;;1
8;AATTTAATAT;FN;;;;1
9;ATAAATATTT;FN;;;;1
10;AAATAAATAT;TP;2.0;0.0;o1980, o1988, o1992;3
11;ATAAATATAT;TP;1.0;0.0069;o1980, o1988, o1992, d2016;4
12;AAAAAAAAAT;FP;4.0;0.0;;1
13;TATAATTAAT;FN;3.0;0.001;o2008;1
14;TAATTAATAT;FN;2.0;0.0006;o2008;1
15;AATAATAAAT;FN;3.0;0.0021;o1988, o1992;2
16;ATAATAAAAT;FN;;;;1
17;AATTATAATT;FN;;;;1
18;TAATTATAAT;FN;3.0;0.0003;o2008;1
19;ATTTTAATTT;FN;;;;1
20;TATATTTAAT;FN;;;;1
21;AATATTTATT;FN;;;;1
22;AAATAATTAT;FN;;;;1
23;ATATTTATTT;FN;;;;1
24;ATATATATAT;TP;0.0;0.3588;o1980, o1988, o1992, o2008, d2016;5
25;ATTTAATAAT;FN;;;;1
26;ATAATTATAT;FN;;;;1
27;TATATATTAT;FN;;;;1
28;TAATATTATT;FN;;;;1
29;TATTAATAAT;FN;;;;1
30;TATTAATTAT;FN;;;;1
31;TAAATTATTT;FN;;;;1
32;ATTTAATATT;FN;;;;1
33;AATATATTTT;FN;;;;1
34;ATATATAAAT;TP;1.0;0.0031;o1980, o1988, o1992, d2016;4
35;TAATATAATT;FN;;;;1
36;TATATAATTT;FN;;;;1
37;ATTAATATTT;FN;;;;1
38;AATATAAATT;FN;;;;1
39;AATTAATTTT;FN;;;;1
40;AATTATTATT;FN;;;;1
41;AATAATTTAT;FN;;;;1
42;ATAATATAAT;FN;;;;1
43;ATATATTTAT;FN;;;;1
44;TATATAAATT;FN;;;;1
45;TAAATTATAT;FN;;;;1
46;ATATAAAATT;FN;;;;1
47;TATATAAAAT;FN;;;;1
48;AAATAAAAAT;FP;3.0;0.0;;1
49;ATTTTATAAT;FN;;;;1
50;ATATAAATAT;TP;1.0;0.0025;o1980, o1988, o1992;3
51;ATTAATATAT;TP;1.0;0.0162;o1980, o1988, o2008;3
52;ATAAATAATT;FN;;;;1
53;ATATTTAAAT;FN;;;;1
54;ATTAATAATT;FN;;;;1
55;ATAATAATAT;TP;2.0;0.0188;o1980, o1988;2
56;AATATATATT;FN;;;;1
57;ATAAAATAAT;TP;3.0;0.0001;o1980;1
58;ATATTAATTT;FN;;;;1
59;AAATTATAAT;FN;;;;1
60;TAAAATATAT;TP;2.0;0.0005;o1980, o1988, o1992, d2016;4
61;ATATATATTT;FN;;;;1
62;AATTATATTT;FN;;;;1
63;ATAATATTAT;FN;;;;1
64;TAAATAATAT;FN;;;;1
65;TATAATATTT;FN;;;;1
66;AAATATAAAT;TP;2.0;0.0;o1980, o1988, o1992, d2016;4
67;ATATATTAAT;TP;1.0;0.0026;o1980, o1988, o2008;3
68;TAATAATAAT;FN;3.0;0.0239;o2008;1
69;TATAAATATT;FN;;;;1
70;AATTTATATT;FN;;;;1
71;TAATATATAT;TP;1.0;0.1039;o1980, o1988, o1992, o2008, d2016;5
72;TATTATAATT;FN;;;;1
73;ATATAATTTT;FN;;;;1
74;TAATTAATTT;FN;;;;1
75;TATTTATAAT;FN;;;;1
76;TATAATAATT;FN;;;;1
77;ATTTATTATT;FN;;;;1
78;TATTATTATT;FN;;;;1
79;TAATTATTAT;FN;;;;1
80;AATTTATAAT;FN;;;;1
81;TAATAATTTT;FN;;;;1
82;TAATATATTT;FN;;;;1
83;TATATTATAT;FN;;;;1
84;ATAAAAAAAT;FP;3.0;0.0;;1
85;TAAAAAAAAT;FP;4.0;0.0;;1
86;AATAATTATT;FN;;;;1
87;TATATATATT;FN;;;;1
88;TATATAATAT;FN;;;;1
89;ATATTATAAT;FN;2.0;0.001;o2008;1
90;AAAATAATAT;FP;3.0;0.0;;1
91;ATTAATTATT;FN;;;;1
92;TATATATTTT;FN;;;;1
93;TATTTAATTT;FN;;;;1
94;AAAAATTAAT;FP;3.0;0.0;;1
95;AATAAATAAT;FN;;;;1
96;ATTAATAAAT;FN;2.0;0.0004;o1988;1
97;AAATATTATT;FN;;;;1
98;ATAAAAATAT;FP;2.0;0.0;;1
