;Patró;Freqüència;Nombre d'autors;Autors;Freqüència (%)
1;ATATATATAT;9033;51;Albert Mestres, Carles Rebassa, Carles Riba, Francesc Garriga, Gabriel Ferrater, Gerard Vergés, Jacint Verdaguer, Jaume Bofill, Jaume Coll Mariné, Joan Alcover, Joan Maragall, Joan Margarit, Joan Oliver, Joan Vinyoli, Jordi Llavina, Josep Carner, Josep Piera, J. V. Foix, Lluís Calvo, Maria Josep Escrivà, Maria Mercè Marçal, Marià Manent, Miquel Costa, Miquel Desclot, Miquel Lladó, Miquel Martí i Pol, Màrius Sampere, Màrius Torres, Narcís Comadira, Nicolau Dols, Salvador Espriu, Salvador Oliva, Tomàs Garcés, Vicent Andrés Estellés, Armand Obiols, Llorenç Moyà, Bernat Cifre, Gabriel de la S.T. Sampol, Blai Bonet, Guillem Cabrer, Joan-Manuel Pérez, Joan Salvat-Papasseit, Àngel Terrón, Albert Balasch, Anna Gual, Pere Gimferrer, Miquel Bezares, Manuel Forcano, Miquel-Àngel Llauger, Vicenç Llorca, Miquel-Àngel Adrover;0.3588
2;ATAATAATAT;474;45;Albert Mestres, Carles Riba, Francesc Garriga, Gabriel Ferrater, Gerard Vergés, Jacint Verdaguer, Jaume Bofill, Jaume Coll Mariné, Joan Alcover, Joan Maragall, Joan Margarit, Joan Oliver, Joan Vinyoli, Josep Carner, Josep Piera, J. V. Foix, Maria Josep Escrivà, Maria Mercè Marçal, Marià Manent, Miquel Costa, Miquel Desclot, Miquel Lladó, Miquel Martí i Pol, Màrius Sampere, Màrius Torres, Narcís Comadira, Salvador Espriu, Salvador Oliva, Tomàs Garcés, Vicent Andrés Estellés, Armand Obiols, Llorenç Moyà, Gabriel de la S.T. Sampol, Blai Bonet, Guillem Cabrer, Joan-Manuel Pérez, Joan Salvat-Papasseit, Àngel Terrón, Albert Balasch, Anna Gual, Miquel Bezares, Manuel Forcano, Miquel-Àngel Llauger, Vicenç Llorca, Miquel-Àngel Adrover;0.0188
3;ATAATATATT;75;27;Albert Mestres, Gerard Vergés, Jacint Verdaguer, Jaume Bofill, Jaume Coll Mariné, Joan Alcover, Joan Maragall, Joan Margarit, Joan Oliver, Joan Vinyoli, Jordi Llavina, Josep Carner, Marià Manent, Miquel Costa, Miquel Lladó, Màrius Sampere, Narcís Comadira, Salvador Espriu, Salvador Oliva, Vicent Andrés Estellés, Llorenç Moyà, Blai Bonet, Joan-Manuel Pérez, Joan Salvat-Papasseit, Miquel Bezares, Manuel Forcano, Miquel-Àngel Llauger;0.003
4;TATATTATAT;34;19;Albert Mestres, Gerard Vergés, Joan Margarit, Joan Oliver, Lluís Calvo, Miquel Desclot, Miquel Lladó, Miquel Martí i Pol, Màrius Sampere, Narcís Comadira, Salvador Espriu, Salvador Oliva, Tomàs Garcés, Vicent Andrés Estellés, Llorenç Moyà, Blai Bonet, Joan-Manuel Pérez, Miquel Bezares, Miquel-Àngel Llauger;0.0014
5;ATATAATAAT;1301;49;Albert Mestres, Carles Rebassa, Carles Riba, Francesc Garriga, Gabriel Ferrater, Gerard Vergés, Jacint Verdaguer, Jaume Bofill, Jaume Coll Mariné, Joan Alcover, Joan Maragall, Joan Margarit, Joan Oliver, Joan Vinyoli, Jordi Llavina, Josep Carner, Josep Piera, J. V. Foix, Lluís Calvo, Maria Josep Escrivà, Maria Mercè Marçal, Marià Manent, Miquel Costa, Miquel Desclot, Miquel Lladó, Miquel Martí i Pol, Màrius Sampere, Màrius Torres, Narcís Comadira, Salvador Espriu, Salvador Oliva, Tomàs Garcés, Vicent Andrés Estellés, Armand Obiols, Llorenç Moyà, Gabriel de la S.T. Sampol, Blai Bonet, Guillem Cabrer, Joan-Manuel Pérez, Joan Salvat-Papasseit, Àngel Terrón, Albert Balasch, Anna Gual, Pere Gimferrer, Miquel Bezares, Manuel Forcano, Miquel-Àngel Llauger, Vicenç Llorca, Miquel-Àngel Adrover;0.0517
6;TAATAATAAT;601;39;Albert Mestres, Carles Rebassa, Carles Riba, Gabriel Ferrater, Gerard Vergés, Jaume Bofill, Joan Maragall, Joan Margarit, Joan Oliver, Joan Vinyoli, Jordi Llavina, Josep Carner, Josep Piera, J. V. Foix, Lluís Calvo, Maria Josep Escrivà, Maria Mercè Marçal, Marià Manent, Miquel Costa, Miquel Desclot, Miquel Lladó, Miquel Martí i Pol, Màrius Sampere, Màrius Torres, Narcís Comadira, Salvador Espriu, Salvador Oliva, Tomàs Garcés, Vicent Andrés Estellés, Armand Obiols, Llorenç Moyà, Blai Bonet, Joan-Manuel Pérez, Joan Salvat-Papasseit, Àngel Terrón, Albert Balasch, Miquel Bezares, Manuel Forcano, Vicenç Llorca;0.0239
7;AATAATATAT;3576;50;Albert Mestres, Carles Rebassa, Carles Riba, Gabriel Ferrater, Gerard Vergés, Jacint Verdaguer, Jaume Bofill, Jaume Coll Mariné, Joan Alcover, Joan Maragall, Joan Margarit, Joan Oliver, Joan Vinyoli, Jordi Llavina, Josep Carner, Josep Piera, J. V. Foix, Lluís Calvo, Maria Josep Escrivà, Maria Mercè Marçal, Marià Manent, Miquel Costa, Miquel Desclot, Miquel Lladó, Miquel Martí i Pol, Màrius Sampere, Màrius Torres, Narcís Comadira, Nicolau Dols, Salvador Espriu, Salvador Oliva, Tomàs Garcés, Vicent Andrés Estellés, Armand Obiols, Llorenç Moyà, Bernat Cifre, Gabriel de la S.T. Sampol, Blai Bonet, Guillem Cabrer, Joan-Manuel Pérez, Joan Salvat-Papasseit, Àngel Terrón, Albert Balasch, Anna Gual, Pere Gimferrer, Miquel Bezares, Manuel Forcano, Miquel-Àngel Llauger, Vicenç Llorca, Miquel-Àngel Adrover;0.142
8;AATTAATATT;10;8;Albert Mestres, Maria Josep Escrivà, Miquel Martí i Pol, Màrius Torres, Armand Obiols, Llorenç Moyà, Blai Bonet, Pere Gimferrer;0.0004
9;TAATATATAT;2616;50;Albert Mestres, Carles Rebassa, Carles Riba, Francesc Garriga, Gabriel Ferrater, Gerard Vergés, Jacint Verdaguer, Jaume Bofill, Jaume Coll Mariné, Joan Alcover, Joan Maragall, Joan Margarit, Joan Oliver, Joan Vinyoli, Jordi Llavina, Josep Carner, Josep Piera, J. V. Foix, Lluís Calvo, Maria Josep Escrivà, Maria Mercè Marçal, Marià Manent, Miquel Costa, Miquel Desclot, Miquel Lladó, Miquel Martí i Pol, Màrius Sampere, Màrius Torres, Narcís Comadira, Nicolau Dols, Salvador Espriu, Salvador Oliva, Tomàs Garcés, Vicent Andrés Estellés, Armand Obiols, Llorenç Moyà, Gabriel de la S.T. Sampol, Blai Bonet, Guillem Cabrer, Joan-Manuel Pérez, Joan Salvat-Papasseit, Àngel Terrón, Albert Balasch, Anna Gual, Pere Gimferrer, Miquel Bezares, Manuel Forcano, Miquel-Àngel Llauger, Vicenç Llorca, Miquel-Àngel Adrover;0.1039
10;ATATAATTAT;355;42;Albert Mestres, Carles Rebassa, Carles Riba, Francesc Garriga, Gabriel Ferrater, Gerard Vergés, Jaume Bofill, Joan Maragall, Joan Margarit, Joan Oliver, Joan Vinyoli, Jordi Llavina, Josep Carner, J. V. Foix, Maria Josep Escrivà, Maria Mercè Marçal, Marià Manent, Miquel Costa, Miquel Desclot, Miquel Lladó, Miquel Martí i Pol, Màrius Sampere, Màrius Torres, Narcís Comadira, Nicolau Dols, Salvador Espriu, Salvador Oliva, Tomàs Garcés, Vicent Andrés Estellés, Armand Obiols, Llorenç Moyà, Blai Bonet, Guillem Cabrer, Joan Salvat-Papasseit, Àngel Terrón, Albert Balasch, Anna Gual, Pere Gimferrer, Miquel Bezares, Manuel Forcano, Miquel-Àngel Llauger, Miquel-Àngel Adrover;0.0141
