;Patró;Complexitat;RC2;RC3;Generador;Freqüència (%)
1;ATATATATAT;0;0;0;o1980;0.3588
2;ATATTAATAT;1;0;1;o1980;0.0014
3;ATATATAAAT;1;1;0;o1980;0.0031
4;AAATATATAT;1;1;0;o1980;0.0017
5;ATTAATATAT;1;0;1;o1980;0.0162
6;ATATATTAAT;1;0;1;o1980;0.0026
7;TAATATATAT;1;0;1;o1980;0.1039
8;ATATAAATAT;1;1;0;o1980;0.0025
9;ATAAATATAT;1;1;0;o1980;0.0069
10;ATTAAAATAT;2;1;1;o1980;0.0
11;ATAATAATAT;2;1;1;o1980;0.0188
12;AAATATAAAT;2;2;0;o1980;0.0
13;TAATATAAAT;2;1;1;o1980;0.0005
14;ATATAAAAAT;2;2;0;o1980;0.0
15;AAATAAATAT;2;2;0;o1980;0.0
16;ATAAATTAAT;2;1;1;o1980;0.0002
17;AAAAATATAT;2;2;0;o1980;0.0
18;AAATTAATAT;2;1;1;o1980;0.0
19;TAAAATATAT;2;1;1;o1980;0.0005
20;ATAAAAATAT;2;2;0;o1980;0.0
21;AAATATTAAT;2;1;1;o1980;0.0001
22;ATAAATAAAT;2;2;0;o1980;0.0
23;AATAATATAT;2;1;1;o1980;0.142
24;ATATAATAAT;2;1;1;o1980;0.0517
25;TAATAAATAT;2;1;1;o1980;0.0006
26;AAATAAAAAT;3;3;0;o1980;0.0
27;AATAAAATAT;3;2;1;o1980;0.0
28;AAAATAATAT;3;2;1;o1980;0.0
29;AAAAAAATAT;3;3;0;o1980;0.0
30;ATAAAATAAT;3;2;1;o1980;0.0001
31;TAATAAAAAT;3;2;1;o1980;0.0
32;TAAAATAAAT;3;2;1;o1980;0.0
33;TAAAAAATAT;3;2;1;o1980;0.0
34;ATAAAAAAAT;3;3;0;o1980;0.0
35;AAATAATAAT;3;2;1;o1980;0.0004
36;AAAAATTAAT;3;2;1;o1980;0.0
37;AAAAATAAAT;3;3;0;o1980;0.0
38;AAAAAAAAAT;4;4;0;o1980;0.0
39;AAAAAATAAT;4;3;1;o1980;0.0
40;TAAAAAAAAT;4;3;1;o1980;0.0
1;ATATATATAT;0;0;0;o1988;0.3588
2;ATATTAATAT;1;0;1;o1988;0.0014
3;ATATATAAAT;1;1;0;o1988;0.0031
4;AAATATATAT;1;1;0;o1988;0.0017
5;ATTAATATAT;1;0;1;o1988;0.0162
6;ATATATTAAT;1;0;1;o1988;0.0026
7;TAATATATAT;1;0;1;o1988;0.1039
8;ATATAAATAT;1;1;0;o1988;0.0025
9;ATAAATATAT;1;1;0;o1988;0.0069
10;ATAAATAAAT;2;2;0;o1988;0.0
11;ATAATAATAT;2;1;1;o1988;0.0188
12;AAATATAAAT;2;2;0;o1988;0.0
13;TAATATAAAT;2;1;1;o1988;0.0005
14;ATATAAAAAT;2;2;0;o1988;0.0
15;AAATAAATAT;2;2;0;o1988;0.0
16;AAAAATATAT;2;2;0;o1988;0.0
17;AAATTAATAT;2;1;1;o1988;0.0
18;ATAAAAATAT;2;2;0;o1988;0.0
19;TAAAATATAT;2;1;1;o1988;0.0005
20;ATTAATAAAT;2;1;1;o1988;0.0004
21;AATAATATAT;2;1;1;o1988;0.142
22;ATATAATAAT;2;1;1;o1988;0.0517
23;AAATATTAAT;2;1;1;o1988;0.0001
24;AAATAATAAT;3;2;1;o1988;0.0004
25;AAAAATAAAT;3;3;0;o1988;0.0
26;TAAAATAAAT;3;2;1;o1988;0.0
27;AAAAAAATAT;3;3;0;o1988;0.0
28;ATAAAAAAAT;3;3;0;o1988;0.0
29;AAAATAATAT;3;2;1;o1988;0.0
30;AAATAAAAAT;3;3;0;o1988;0.0
