;Patró;Freqüència (%);Nombre d'autors;Generadors;Nombre de generadors
1;ATATATATAT;0.3588;51;o1980, o1988, o1992, o2008, d2016;5
2;AATAATATAT;0.142;50;o1980, o1988, o1992, o2008;4
3;TAATATATAT;0.1039;50;o1980, o1988, o1992, o2008, d2016;5
4;TATAATATAT;0.0672;49;o1992, o2008;2
5;ATATAATAAT;0.0517;49;o1980, o1988, o1992, o2008;4
6;TAATAATAAT;0.0239;39;o2008;1
7;AATATATAAT;0.0198;42;;1
8;ATAATAATAT;0.0188;45;o1980, o1988;2
9;ATTAATATAT;0.0162;41;o1980, o1988, o2008;3
10;ATAATATAAT;0.0156;42;;1
11;AATTATATAT;0.0144;40;;1
12;ATATAATTAT;0.0141;42;;1
13;TATATATAAT;0.0137;40;;1
14;ATATATAATT;0.0128;42;;1
15;AATATAATAT;0.012;40;;1
16;TATATAATAT;0.0102;37;;1
17;ATAAATATAT;0.0069;36;o1980, o1988, o1992, d2016;4
18;AATAATAATT;0.0068;35;;1
19;TATTATATAT;0.0062;28;;1
20;TAATAATTAT;0.0051;26;;1
21;ATATAATATT;0.0048;28;;1
22;TATAATAATT;0.0041;25;;1
23;ATAATTATAT;0.0038;31;;1
